tempo [s];Z [m];w [m/s];arquivo_origem
12.606;0.373202;0.005399832;x0.0.csv
12.639;0.37705;-0.004564815;x0.0.csv
12.672;0.373272;-0.023335859;x0.0.csv
12.705;0.374269;-0.010453704;x0.0.csv
12.738;0.373062;-0.008847643;x0.0.csv
12.771;0.373237;0.00521633;x0.0.csv
12.804;0.374112;-0.000882155;x0.0.csv
12.837;0.373307;-0.010085859;x0.0.csv
12.87;0.372905;-0.006271886;x0.0.csv
12.903;0.373062;-0.005281145;x0.0.csv
12.936;0.372468;-0.000801347;x0.0.csv
12.969;0.372923;0.004640572;x0.0.csv
13.002;0.372923;0.006739057;x0.0.csv
13.035;0.373552;0.00381229;x0.0.csv
13.068;0.372853;0.00768771;x0.0.csv
13.101;0.374252;0.006566498;x0.0.csv
13.134;0.37364;-0.002591751;x0.0.csv
13.167;0.373605;-0.001110269;x0.0.csv
13.2;0.373482;0.003616162;x0.0.csv
13.233;0.374409;-0.003754209;x0.0.csv
13.266;0.372485;0.005895623;x0.0.csv
13.299;0.374777;0.014301347;x0.0.csv
13.332;0.374637;-0.00126936;x0.0.csv
13.365;0.373832;0.001128788;x0.0.csv
13.398;0.372835;0.044505051;x0.0.csv
13.431;0.380356;-0.0009133;x0.0.csv
13.464;0.373307;-0.057943603;x0.0.csv
13.497;0.372923;-0.02508165;x0.0.csv
13.53;0.372031;0.002896465;x0.0.csv
13.563;0.374304;0.007757576;x0.0.csv
13.596;0.372678;0.000915825;x0.0.csv
13.629;0.373255;0.021335017;x0.0.csv
13.662;0.375704;0.002296296;x0.0.csv
13.695;0.372433;0.007739057;x0.0.csv
13.728;0.375756;0.020739057;x0.0.csv
13.761;0.375196;-0.00089899;x0.0.csv
13.794;0.375581;-0.018796296;x0.0.csv
13.827;0.373395;-0.022478114;x0.0.csv
13.86;0.373325;-0.003047138;x0.0.csv
13.893;0.373605;0.005943603;x0.0.csv
13.926;0.374129;0.004532828;x0.0.csv
13.959;0.374042;-0.003219697;x0.0.csv
13.992;0.373465;0.000208754;x0.0.csv
14.025;0.374427;-0.004785354;x0.0.csv
14.058;0.37301;-0.006079966;x0.0.csv
14.091;0.373745;-0.000103535;x0.0.csv
14.124;0.37343;-0.00486532;x0.0.csv
14.157;0.373062;-0.000650673;x0.0.csv
14.19;0.373657;-0.003366162;x0.0.csv
14.223;0.372853;-0.004504209;x0.0.csv
14.256;0.37287;0.006252525;x0.0.csv
14.289;0.373307;0.015636364;x0.0.csv
14.322;0.374427;0.010276094;x0.0.csv
14.355;0.374094;0.000765993;x0.0.csv
14.388;0.374497;-0.009451178;x0.0.csv
14.421;0.373097;-0.00890404;x0.0.csv
14.454;0.37378;-0.003319865;x0.0.csv
14.487;0.372993;-0.000308923;x0.0.csv
14.52;0.373605;0.006031987;x0.0.csv
14.553;0.373762;0.002162458;x0.0.csv
14.586;0.37371;-0.002122054;x0.0.csv
14.619;0.373552;-0.004537037;x0.0.csv
14.652;0.373727;-0.012862795;x0.0.csv
14.685;0.371996;-0.001690236;x0.0.csv
14.718;0.37336;0.015383838;x0.0.csv
14.751;0.373535;0.018060606;x0.0.csv
14.784;0.375056;0.006111111;x0.0.csv
14.817;0.37399;-0.009051347;x0.0.csv
14.85;0.373937;-0.009319865;x0.0.csv
14.883;0.37343;-0.007417508;x0.0.csv
14.916;0.372993;0.008110269;x0.0.csv
14.949;0.373692;0.026338384;x0.0.csv
14.982;0.375634;0.019847643;x0.0.csv
15.015;0.376176;-0.017713805;x0.0.csv
15.048;0.37322;-0.02302862;x0.0.csv
15.081;0.373972;-0.008334175;x0.0.csv
15.114;0.372835;0.004508418;x0.0.csv
15.147;0.374567;0.009353535;x0.0.csv
15.18;0.374025;-0.00294697;x0.0.csv
15.213;0.373762;0.000143939;x0.0.csv
15.246;0.374252;-0.002723906;x0.0.csv
15.279;0.373465;-0.001212121;x0.0.csv
15.312;0.374269;-0.002110269;x0.0.csv
15.345;0.373272;-0.002515993;x0.0.csv
15.378;0.373902;0.002536195;x0.0.csv
15.411;0.374042;-0.007830808;x0.0.csv
15.444;0.372835;-0.003103535;x0.0.csv
15.477;0.37385;0.000397306;x0.0.csv
15.51;0.372835;0.003986532;x0.0.csv
15.543;0.374514;-0.001380471;x0.0.csv
15.576;0.372958;-0.01261532;x0.0.csv
15.609;0.372433;0.009093434;x0.0.csv
15.642;0.374339;0.010656566;x0.0.csv
15.675;0.37308;0.012720539;x0.0.csv
15.708;0.375511;0.003327441;x0.0.csv
15.741;0.373692;-0.015234007;x0.0.csv
